Wavelength_nm,0,3,6,8,9
190,0.99107,0.70536,0.40453,0.97462,1.17442
191,0.93203,1.04193,0.49981,0.62615,0.56852
192,0.71490,0.42358,0.23596,0.51767,0.50890
193,1.13540,0.87961,0.82993,0.43722,0.72708
194,1.07429,0.95737,0.91295,0.98208,0.60793
195,1.25136,1.05223,0.71639,0.76984,0.66485
196,0.84191,0.92022,1.01230,0.87988,0.50508
197,0.61093,0.60532,0.86527,0.81879,0.75959
198,1.39317,1.01148,0.73828,0.34826,1.47845
199,0.97858,0.66603,0.30817,0.45742,0.90345
200,1.39389,1.36465,1.02449,0.73254,1.08975
201,1.35234,1.44097,1.35808,1.22583,1.35765
202,1.24213,1.57764,1.50341,1.43389,1.44076
203,1.88015,1.77520,1.85346,1.69637,1.86005
204,2.10526,1.86813,1.88616,1.82912,2.03171
205,2.26516,2.22676,2.07891,2.40832,2.57097
206,2.42231,2.53694,2.33887,2.69947,2.47687
207,2.28812,2.38818,2.31188,2.33026,2.34360
208,2.16071,2.20720,2.20455,2.19376,2.21387
209,2.12898,2.11709,2.13249,2.15650,2.15060
210,2.03240,2.01835,2.04300,2.04527,2.04609
211,1.93900,1.92488,1.94186,1.96862,1.96232
212,1.84495,1.83992,1.86075,1.88139,1.87021
213,1.75647,1.74537,1.77613,1.79140,1.79034
214,1.68283,1.67241,1.69999,1.71318,1.71435
215,1.60773,1.60602,1.63007,1.64770,1.64556
216,1.54583,1.54197,1.56301,1.57992,1.57153
217,1.48248,1.47774,1.50089,1.52272,1.51418
218,1.42253,1.41489,1.43822,1.45569,1.45155
219,1.36293,1.35945,1.38329,1.39682,1.39576
220,1.30702,1.30173,1.32522,1.34136,1.33919
221,1.25099,1.24561,1.26883,1.28612,1.28138
222,1.19448,1.19246,1.21154,1.22977,1.22699
223,1.13728,1.13245,1.15437,1.17001,1.16824
224,1.07890,1.07591,1.09944,1.11518,1.11180
225,1.02215,1.01947,1.04219,1.05845,1.05711
226,0.96852,0.96588,0.99040,1.00679,1.00328
227,0.91558,0.91403,0.93717,0.95270,0.94973
228,0.86166,0.86008,0.88232,0.89856,0.89525
229,0.79938,0.79842,0.82046,0.83596,0.83357
230,0.72972,0.72819,0.75113,0.76586,0.76316
231,0.65068,0.65053,0.67230,0.68688,0.68378
232,0.57356,0.57418,0.59451,0.60839,0.60577
233,0.50266,0.50373,0.52262,0.53608,0.53398
234,0.44259,0.44408,0.46228,0.47470,0.47249
235,0.39190,0.39337,0.40995,0.42181,0.41963
236,0.34940,0.35075,0.36610,0.37716,0.37565
237,0.31426,0.31558,0.32993,0.34020,0.33853
238,0.28458,0.28598,0.29894,0.30844,0.30648
239,0.26035,0.26157,0.27347,0.28222,0.28038
240,0.24011,0.24088,0.25189,0.26027,0.25852
241,0.22349,0.22424,0.23437,0.24225,0.24044
242,0.21023,0.21083,0.22016,0.22748,0.22582
243,0.19948,0.19989,0.20846,0.21525,0.21367
244,0.19057,0.19082,0.19896,0.20555,0.20391
245,0.18339,0.18348,0.19138,0.19760,0.19605
246,0.17763,0.17779,0.18531,0.19095,0.18977
247,0.17306,0.17314,0.18033,0.18609,0.18479
248,0.16930,0.16953,0.17628,0.18206,0.18069
249,0.16642,0.16656,0.17325,0.17898,0.17748
250,0.16386,0.16376,0.17055,0.17583,0.17458
251,0.16183,0.16173,0.16819,0.17380,0.17257
252,0.16067,0.16070,0.16699,0.17224,0.17111
253,0.15962,0.15960,0.16566,0.17070,0.16962
254,0.15896,0.15870,0.16469,0.16979,0.16826
255,0.15793,0.15748,0.16358,0.16876,0.16708
256,0.15765,0.15724,0.16328,0.16819,0.16649
257,0.15765,0.15706,0.16283,0.16757,0.16625
258,0.15839,0.15800,0.16315,0.16785,0.16666
259,0.15883,0.15816,0.16376,0.16844,0.16677
260,0.15949,0.15897,0.16404,0.16845,0.16706
261,0.16008,0.15941,0.16406,0.16842,0.16695
262,0.16014,0.15972,0.16406,0.16798,0.16648
263,0.16090,0.15998,0.16418,0.16788,0.16650
264,0.16231,0.16122,0.16488,0.16819,0.16751
265,0.16285,0.16153,0.16501,0.16885,0.16727
266,0.16354,0.16236,0.16594,0.16857,0.16751
267,0.16385,0.16243,0.16550,0.16814,0.16659
268,0.16437,0.16277,0.16550,0.16834,0.16658
269,0.16504,0.16346,0.16614,0.16840,0.16696
270,0.16585,0.16419,0.16650,0.16848,0.16741
271,0.16616,0.16433,0.16616,0.16817,0.16704
272,0.16599,0.16413,0.16584,0.16758,0.16625
273,0.16618,0.16420,0.16582,0.16743,0.16588
274,0.16587,0.16402,0.16511,0.16664,0.16525
275,0.16552,0.16384,0.16447,0.16591,0.16454
276,0.16523,0.16327,0.16380,0.16541,0.16381
277,0.16488,0.16281,0.16329,0.16454,0.16332
278,0.16527,0.16318,0.16353,0.16469,0.16370
279,0.16558,0.16355,0.16414,0.16518,0.16381
280,0.16583,0.16399,0.16453,0.16554,0.16397
281,0.16574,0.16383,0.16391,0.16504,0.16387
282,0.16443,0.16272,0.16294,0.16417,0.16318
283,0.16332,0.16143,0.16181,0.16293,0.16172
284,0.16125,0.15904,0.15969,0.16095,0.15957
285,0.15793,0.15560,0.15657,0.15764,0.15640
286,0.15442,0.15263,0.15297,0.15453,0.15300
287,0.15192,0.15012,0.15052,0.15221,0.15043
288,0.15028,0.14854,0.14873,0.15043,0.14843
289,0.15029,0.14804,0.14847,0.14986,0.14822
290,0.14895,0.14649,0.14700,0.14837,0.14688
291,0.14610,0.14324,0.14349,0.14481,0.14328
292,0.14025,0.13810,0.13778,0.13900,0.13729
293,0.13319,0.13054,0.13106,0.13261,0.13047
294,0.12735,0.12452,0.12486,0.12659,0.12465
295,0.12198,0.11899,0.11966,0.12069,0.11896
